SSDSE-B-2026,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2019,R20000,í∑ñÏåß,2061000,1007000,1054000,2026000,991000,1035000,250000,128000,122000,1146000,585000,561000,653000,287000,366000,13553,6895,6658,1.57,26041,12863,13178,24948,14012,10936,29275,15739,13536,8809,2981,12.9,32.1,-4.5,111,1006.0,12101,2116480,2620,63713,25200,53400,95,943,8913,371,7260,105871,196,4690,56013,18924,18164,100,4431,56070,18506,9089,9,10,190,1636,2536,15911,1151,22,3268,750,60,20,6575,1620,56843,230336,354857,17766,17977,52797,13409970,1244740,12426,6868,3765,1787,1232606,835452,193831,202603,623271,816,20.5,112,1574,1013,568,61862,80,49131,6622,315017,74505,25124,24319,13614,10687,14404,47655,6496,33429,64785
2018,R20000,í∑ñÏåß,2073000,1012000,1061000,2040000,997000,1043000,255000,131000,124000,1158000,590000,567000,651000,285000,365000,14184,7281,6903,1.57,25422,12623,12799,25475,14434,11041,29078,15693,13385,8737,3053,13.0,32.8,-4.6,110,886.0,12259,2037561,2669,63579,25200,53500,96,945,9289,370,7272,108014,196,4678,56800,19462,18788,100,4455,57224,18461,8774,9,10,208,1613,2844,15452,1337,59,3300,723,61,22,6578,1746,58434,230823,389405,20108,20318,51297,13223130,1184530,12386,6964,3527,1749,1219262,843188,188163,182398,621829,811,20.6,113,1574,1017,570,61244,50,50924,6514,288413,71705,11528,24861,12443,10019,12547,50509,6984,27531,60286
2017,R20000,í∑ñÏåß,2082000,1016000,1067000,2052000,1002000,1050000,260000,133000,127000,1169000,596000,574000,647000,283000,364000,14525,7435,7090,1.56,25674,12765,12909,25682,14373,11309,28363,15382,12981,8983,3214,11.9,30.2,-4.1,116,1194.0,12040,1941398,2677,63045,25300,54200,94,920,9475,372,7263,109385,196,4757,58490,20070,19460,99,4470,58156,18844,8991,9,9,239,1551,3063,14816,1304,60,3057,706,61,22,6599,1852,60552,239248,382130,21522,21758,48847,12979530,995670,12020,6662,3701,1629,1183563,817665,168856,190592,630254,817,21.2,114,1581,1025,545,58977,0,50044,6406,278871,66987,21389,24150,11635,10311,13507,45155,5663,24470,55604
2016,R20000,í∑ñÏåß,2091000,1019000,1072000,2063000,1007000,1056000,265000,136000,130000,1182000,601000,580000,641000,280000,361000,15171,7852,7319,1.59,25114,12584,12530,25765,14493,11272,28445,15657,12788,8971,3181,13.1,31.9,-3.8,93,923.0,12309,2212565,2750,63960,25300,55000,100,955,9889,374,7322,111050,197,4834,60144,20598,20032,101,4500,58584,18898,9086,9,9,241,1551,3112,14533,1395,58,3127,730,61,22,6642,1718,63655,250644,345383,22192,22401,45377,13006090,895050,12031,6860,3628,1521,1202718,845682,166847,188281,637955,822,22.1,115,1570,1022,544,57668,0,49218,6249,296357,70398,16791,22715,10563,10884,15764,48285,9397,27417,64141
2015,R20000,í∑ñÏåß,2098804,1022129,1076675,2067713,1009023,1058690,269752,138082,131670,1186865,601540,585325,626085,272810,353275,15639,8043,7596,1.58,24536,12317,12219,26745,15116,11629,29679,16243,13436,9606,3368,12.8,30.2,-4.0,122,1057.5,11855,2107530,2883,65257,25500,55800,104,977,10477,378,7410,113486,199,4907,61305,20512,20040,103,4491,58983,18907,9242,9,9,245,1542,3168,14441,1385,72,3155,693,62,24,6702,1776,67356,270518,322545,23375,23503,40753,13110690,748860,10805,6657,2723,1368,1135502,831080,150220,148663,653520,836,23.0,115,1571,1020,543,57523,0,48894,6160,312467,71508,22998,26381,10760,11772,12540,46955,9561,31551,68441
2014,R20000,í∑ñÏåß,2110000,1027000,1083000,2084000,1016000,1068000,278000,143000,135000,1216000,616000,600000,615000,267000,349000,15848,8173,7675,1.54,24752,12398,12354,25794,14392,11402,29073,15913,13160,9515,3280,11.9,30.3,-5.2,110,902.0,11957,2008150,2946,65677,26000,56800,119,1119,12681,381,7452,115529,200,4900,62094,20902,20354,102,4502,59093,18887,9076,9,8,245,1501,3414,14264,1617,67,3099,651,62,25,6764,1938,70759,286966,305109,24598,24735,39743,12484040,518990,10807,6559,2987,962,1106961,827093,106573,157905,657316,838,23.1,116,1561,1020,548,56934,0,50155,6309,311287,70033,22459,25582,10328,12278,15129,41050,13225,31192,70011
2013,R20000,í∑ñÏåß,2122000,1033000,1090000,2095000,1021000,1074000,283000,145000,138000,1239000,627000,611000,600000,259000,341000,16326,8297,8029,1.54,24304,12291,12013,26482,14685,11797,29172,16111,13061,9933,3420,12.3,31.2,-4.6,107,1137.5,13808,2414422,3002,66496,26500,58200,119,1141,13070,381,7457,117738,198,4892,62653,21217,20628,102,4519,59286,18887,9028,9,8,248,1494,3404,14317,1385,69,3154,663,62,25,6812,2255,76355,324301,273173,25759,25895,42327,13398400,379130,12261,8382,2602,1209,1345269,1059039,133682,144973,667111,847,24.7,115,1561,1022,536,55969,0,49652,6228,291643,66340,17997,24229,11274,10883,14045,44185,7078,28413,67199
2012,R20000,í∑ñÏåß,2132000,1037000,1095000,2107000,1027000,1080000,288000,148000,140000,1260000,638000,622000,585000,251000,334000,16661,8539,8122,1.51,24474,12468,12006,27020,14918,12102,29076,15841,13235,9948,3541,12.1,33.0,-4.5,107,955.5,12145,2178905,3039,66977,27100,62900,118,1121,13302,385,7522,119583,198,4892,63310,21154,20621,104,4601,60331,19867,9476,9,8,253,1472,3259,14326,1436,80,3160,729,65,27,6717,2108,82147,344605,253481,26761,27002,50402,11988640,204600,10845,7319,2311,1186,1197599,935283,124138,135837,681372,862,25.0,116,1554,1019,553,57060,0,51355,6166,307393,65762,25251,25370,10586,12327,13837,48027,10332,29348,66551
2023,R21000,äÚïååß,1931000,938000,993000,1868000,906000,961000,224000,115000,109000,1104000,559000,545000,603000,264000,339000,10469,5324,5145,1.31,26089,13221,12868,24559,13814,10745,29781,16267,13514,6076,2602,17.4,34.9,0.8,111,1986.5,8915,1512913,1068,26451,31900,86900,145,1778,16164,351,7157,96495,181,4205,52631,17914,16343,82,3966,48480,15520,9488,11,13,229,1949,2978,19813,1288,103,4644,607,33,30,3529,2454,40177,187686,303655,10242,10237,41195,5019310,647670,9445,4799,2568,2065,890606,546629,205200,137066,587449,828,17.1,82,1598,938,321,36424,0,26799,4033,320779,76644,12770,26232,12600,9860,14907,69874,10939,25924,61029
2022,R21000,äÚïååß,1946000,945000,1001000,1888000,916000,972000,231000,118000,113000,1111000,562000,549000,604000,265000,339000,11124,5723,5401,1.36,26175,13436,12739,25126,14136,10990,29787,16153,13634,6525,2565,16.7,33.0,0.0,115,1978.5,10255,2138949,1073,26194,32000,86000,149,1853,17132,359,7273,100028,182,4222,53594,18077,16495,82,4014,49435,16124,9675,11,13,242,1961,3360,20269,1368,70,4582,570,33,33,3710,2997,39340,181350,308918,10427,10448,12312,4106040,65500,10886,5480,3147,2178,1039084,636468,236907,161908,610529,859,16.9,85,1636,949,415,48095,0,36543,4451,313314,77357,13720,27584,14485,10573,14956,49215,15724,27226,62473
2021,R21000,äÚïååß,1961000,952000,1009000,1907000,926000,981000,237000,121000,115000,1120000,565000,554000,605000,265000,339000,11730,5921,5809,1.40,24126,12363,11763,24769,13937,10832,29931,16210,13721,6589,2578,16.8,32.3,1.1,118,2249.5,10715,2070332,1075,25738,32200,86500,154,1823,18424,362,7268,101805,185,4255,54493,18349,16967,81,4038,50563,16916,9995,11,13,253,1880,3472,20185,1305,80,4240,549,33,33,3935,3099,39685,189830,285212,10840,10961,4603,3027650,23160,11235,6028,2913,2288,1119221,716977,251480,149722,625586,874,16.3,85,1630,959,415,47808,0,38709,4016,306115,77757,16280,22188,11565,8451,17156,56839,11684,27296,56898
2020,R21000,äÚïååß,1978742,960436,1018306,1900727,922646,978081,240520,123166,117354,1105215,554871,550344,593751,260558,333193,12092,6204,5888,1.42,22720,11506,11214,24615,14077,10538,30312,16453,13859,7003,2834,17.0,35.9,2.8,110,2088.5,9743,1819476,1095,25791,32600,88200,164,1896,19001,367,7280,104118,185,4229,54433,18015,16768,81,4079,52577,17565,10056,11,13,272,1876,3596,19827,1481,60,4145,553,33,33,4008,2955,44048,203201,252997,10342,10348,15386,3408440,193210,10584,5542,2734,2305,1065927,666034,256321,143228,634466,878,16.3,85,1610,958,418,46892,0,37467,4393,304271,76629,18816,22270,13358,10997,17115,49751,11658,27896,55781
2019,R21000,äÚïååß,1992000,967000,1025000,1941000,942000,999000,248000,127000,121000,1140000,574000,565000,599000,263000,336000,12776,6463,6313,1.45,23417,11924,11493,25093,14219,10874,31326,16857,14469,8227,3004,17.0,34.2,0.8,108,1798.0,10836,2134754,1098,25461,33200,88400,167,1914,19792,370,7302,106404,186,4276,55223,18630,17482,81,4084,54178,17778,9977,11,13,284,1839,3711,19125,1506,183,4030,529,33,33,4066,3213,43123,171184,314733,13087,13486,60812,5964320,1281280,11751,6091,2888,2714,1218842,742793,323019,150077,653280,894,17.2,86,1587,968,417,46522,2,36665,4196,287263,73422,12233,22270,11979,9691,13320,46046,14598,27413,56291
2018,R21000,äÚïååß,2001000,971000,1031000,1957000,950000,1007000,253000,130000,123000,1148000,577000,571000,595000,261000,334000,13720,7048,6672,1.52,23062,11847,11215,25427,14427,11000,30801,16680,14121,7912,2876,16.9,35.1,-0.1,114,2087.0,10780,2125377,1110,25204,33400,88400,172,1940,20742,371,7321,107902,188,4315,56160,19430,18269,81,4065,55400,18146,10026,11,12,305,1814,3954,19415,1532,61,4017,574,34,35,4111,3400,43262,171836,330910,14313,14916,58821,5316500,1151960,11631,5998,2996,2583,1180676,736635,279664,159136,652087,891,18.2,88,1590,962,418,46671,0,38857,4448,322163,76988,16277,22684,11014,12980,13387,55090,15719,32576,65447
2017,R21000,äÚïååß,2012000,975000,1037000,1971000,956000,1015000,258000,132000,126000,1161000,582000,579000,589000,259000,330000,14040,7139,6901,1.51,22968,11781,11187,24868,14015,10853,30623,16363,14260,8392,2965,15.9,32.9,0.4,118,1864.0,10682,2152385,1133,25012,33600,88100,177,1926,21628,371,7285,108707,188,4423,57976,19991,18938,81,4052,55914,18240,10117,11,12,307,1800,4125,19331,1575,74,4338,617,34,36,4263,3719,47133,185314,318991,15604,16150,55941,5177750,855810,11355,5852,3127,2333,1155770,732338,255753,163996,654293,892,18.6,89,1585,965,414,46410,2,39057,4468,303296,72378,14567,22677,11054,12228,12612,50385,17940,29572,59885
2016,R21000,äÚïååß,2024000,980000,1043000,1985000,963000,1022000,263000,135000,128000,1177000,589000,588000,581000,255000,326000,14831,7549,7282,1.54,22474,11522,10952,25459,14304,11155,30490,16702,13788,8585,3059,16.9,34.3,1.7,113,1988.0,10512,1977893,1136,24710,33700,84100,184,1925,22388,374,7305,109907,191,4470,59474,20069,19067,81,4075,56508,18379,10275,11,12,314,1751,4185,19292,1588,76,4264,588,34,36,4364,3599,51602,200182,313480,16680,17237,52718,5198150,855540,10523,5990,2643,1874,1115125,753829,212240,147027,658435,892,18.9,90,1589,960,404,44696,23,38018,4399,292863,73226,16419,23381,10533,12597,12470,47207,10404,26278,60350
2015,R21000,äÚïååß,2031903,983850,1048053,1989980,965283,1024697,266998,136683,130315,1185431,591138,594293,567571,249169,318402,15467,7983,7484,1.56,21999,11393,10606,25858,14545,11313,31052,16975,14077,8865,3110,16.5,33.2,1.3,122,2266.5,10823,2012485,1160,25743,33800,84300,184,1893,22502,374,7349,111729,195,4534,60556,20490,19435,81,4071,56451,18029,9939,11,12,317,1757,4338,19374,1664,101,4328,590,35,35,4469,3358,55865,216486,313214,17906,18591,46477,5119030,719800,10418,6082,2382,1921,1120705,770799,219866,127669,673852,906,19.3,90,1591,957,404,45154,7,39269,4685,272976,66375,12909,23654,9638,12146,11917,41775,14304,31127,49131
2014,R21000,äÚïååß,2043000,989000,1054000,2008000,974000,1034000,274000,141000,134000,1210000,603000,607000,557000,244000,313000,15138,7709,7429,1.42,21658,11256,10402,25258,14201,11057,29412,16055,13357,9073,3182,16.1,32.2,0.4,109,1719.0,10486,2109552,1187,25156,33700,83900,188,1935,23033,375,7391,113603,195,4511,61278,20705,19644,81,4077,56681,18477,10355,11,12,317,1741,4354,19528,1614,91,4363,599,36,34,4563,3429,60418,236557,293132,18553,19278,46100,4889730,457740,10331,5911,2464,1936,1113946,759122,217756,134185,680621,911,19.9,90,1579,947,407,45527,27,40628,4846,270768,62884,12774,25082,9493,9440,11702,42256,10928,26269,59940
2013,R21000,äÚïååß,2053000,994000,1059000,2018000,979000,1039000,279000,143000,136000,1233000,615000,619000,539000,235000,304000,16000,8271,7729,1.45,21518,11168,10350,25930,14530,11400,30742,16799,13943,9492,3227,16.3,34.6,-0.3,102,1875.5,12119,2217811,1209,25469,34200,83500,188,1887,22861,377,7422,115568,197,4568,61996,20795,19776,81,4081,56675,18263,10139,11,12,314,1693,4167,19693,1472,124,4355,577,36,34,4634,3178,66023,270463,280303,20475,21423,48619,4790650,355530,12124,7709,2696,1677,1349949,1002698,189565,151457,696217,928,19.7,91,1588,943,403,44273,8,39536,4644,272039,63946,11589,23633,8217,10539,12272,46439,12436,27083,55884
2012,R21000,äÚïååß,2062000,998000,1064000,2029000,984000,1045000,283000,145000,138000,1258000,627000,632000,520000,226000,294000,16496,8372,8124,1.45,21531,11126,10405,26630,15028,11602,30546,16641,13905,9521,3306,15.7,33.7,0.3,102,1871.5,11037,2140150,1233,25545,35100,87000,188,1883,23403,377,7430,117728,197,4560,62055,20560,19564,81,4105,57276,18475,10204,11,12,307,1688,4095,19540,1622,110,4063,558,37,34,4605,3239,72939,290507,255587,20847,21993,60109,4546820,239430,11086,6598,2664,1755,1211826,859157,199565,148005,702404,932,20.7,91,1579,940,419,45595,0,41039,4720,285054,68380,14412,24093,8667,12309,13607,40475,12176,28083,62853
2023,R22000,ê√â™åß,3555000,1754000,1801000,3449000,1702000,1748000,404000,208000,196000,2050000,1059000,991000,1101000,488000,614000,18969,9681,9288,1.25,47926,24361,23565,48516,28512,20004,55276,31686,23590,12387,5028,18.2,33.0,2.4,93,2382.5,15818,3247332,2538,68149,64100,140800,328,2786,24401,493,11358,175775,290,6915,95770,32315,29411,136,6342,88766,28128,16344,5,14,111,2197,1631,33336,751,93,7749,956,89,21,14134,1717,79021,377227,508002,15607,15994,77589,18063770,903850,19163,8776,6566,3756,1714086,996825,372439,336489,1066536,807,17.9,139,2724,1714,394,41880,5,35278,5966,300652,85135,19678,24269,10514,9040,14748,38974,10113,28942,59240
2022,R22000,ê√â™åß,3582000,1766000,1816000,3484000,1718000,1766000,417000,214000,203000,2064000,1065000,999000,1101000,487000,614000,20575,10638,9937,1.33,47334,24254,23080,48811,28531,20280,54849,31008,23841,13127,4957,17.4,32.0,1.4,112,2967.0,17412,3435024,2571,68611,64000,139900,340,2957,27734,500,11481,180387,288,6961,97183,33120,30460,138,6392,89919,29624,16960,5,14,108,2171,1748,33679,816,122,7887,887,90,25,14753,1410,77650,371048,518084,16267,16624,26450,14910840,125750,19911,9760,6274,3647,1851177,1131179,373322,327689,1115285,840,18.4,139,2761,1743,693,73658,23,65191,6198,300439,83217,12874,25342,10547,9486,15300,43410,12938,28300,59024
2021,R22000,ê√â™åß,3608000,1778000,1829000,3515000,1733000,1782000,429000,220000,209000,2079000,1072000,1008000,1099000,486000,613000,21571,11044,10527,1.36,43194,22210,20984,48863,28550,20313,53512,30603,22909,13341,5162,17.7,31.3,2.6,103,2511.0,18843,3343647,2654,70019,64200,139700,350,3031,30886,502,11545,183614,291,6980,98192,32739,30400,138,6441,91613,30164,16797,6,14,112,2147,1912,33778,910,124,7684,892,92,26,14821,1234,77385,383096,479428,17052,17388,11502,11597060,72040,20916,11151,5856,3773,2026479,1317359,390873,304510,1127120,843,18.7,139,2750,1751,683,71546,61,65880,6032,291793,76006,17542,22344,10251,7986,13843,43829,14039,23572,62381
2020,R22000,ê√â™åß,3633202,1791118,1842084,3523817,1737558,1786259,438723,224978,213745,2071258,1064983,1006275,1084282,479321,604961,22497,11509,10988,1.39,42191,21839,20352,48690,28803,19887,54270,30846,23424,13846,5474,17.8,33.4,4.6,108,2613.5,17461,3137634,2760,71210,64500,140900,366,3193,34376,509,11564,187254,293,6937,97950,32050,29970,138,6663,94652,31272,16843,6,13,138,2171,1991,33809,822,111,7390,829,91,26,14222,1415,84327,412532,411658,17119,17588,29117,11714450,213160,20528,10527,5865,3824,1936783,1245664,384880,290577,1156091,858,18.2,140,2715,1750,667,68800,122,62833,6245,281343,79406,17084,21167,11808,7925,16191,39741,7714,24461,55845
2019,R22000,ê√â™åß,3653000,1802000,1851000,3564000,1758000,1806000,447000,229000,218000,2107000,1086000,1021000,1089000,481000,608000,23457,12101,11356,1.44,42190,21642,20548,49294,29146,20148,56692,32083,24609,15848,5834,17.8,32.4,2.8,118,2390.5,20101,3636875,2841,70454,65300,142800,385,3377,37470,508,11521,190302,294,6948,98143,33378,31440,138,6747,96815,31854,16993,5,12,122,2124,2092,33505,990,95,7335,793,90,26,13984,1595,82678,357074,541297,21248,21834,110853,18823210,2113160,21863,11804,6084,3841,2138560,1415125,396765,311785,1201647,885,18.2,144,2732,1761,655,68562,212,64221,6340,280604,77574,12706,22524,12221,10278,14084,40252,8919,25200,56846
2018,R22000,ê√â™åß,3667000,1807000,1859000,3587000,1769000,1819000,456000,234000,222000,2122000,1092000,1031000,1081000,478000,604000,25192,12865,12327,1.50,41972,21587,20385,49616,29492,20124,56270,31816,24454,15768,5923,17.7,32.7,1.3,106,2442.0,20446,4151090,2928,70591,65500,141300,393,3421,40032,508,11533,192601,294,6924,99221,33844,31998,138,6815,98846,32163,16723,5,12,127,2105,2156,33274,1007,96,7556,803,91,26,14050,1812,84013,353078,610394,23850,24309,107098,17984600,1569750,22953,11925,7092,3837,2211683,1439763,388048,372266,1205161,886,18.4,147,2718,1770,645,64825,325,59272,6333,306940,80181,16025,23106,9549,10647,14250,50172,12401,24014,66596
2017,R22000,ê√â™åß,3681000,1813000,1868000,3608000,1778000,1830000,464000,238000,226000,2143000,1100000,1043000,1069000,472000,597000,26261,13474,12787,1.52,41078,21193,19885,50088,29390,20698,55330,31442,23888,16573,5984,16.8,31.5,2.4,100,2108.0,20129,3749917,3004,69927,65900,140300,416,3659,45079,510,11440,193560,295,6972,101903,34622,32923,138,6843,99733,32434,17162,5,12,134,2099,2201,33016,1048,84,7482,819,91,26,14089,1644,92563,379743,602762,27107,27763,104262,17677710,1336020,23589,11755,7527,4150,2268404,1433218,414441,406762,1200491,878,18.1,149,2708,1766,599,62326,456,60128,6512,281962,76228,21445,21686,9795,10117,11437,34506,10603,25690,60454
2016,R22000,ê√â™åß,3690000,1817000,1874000,3625000,1786000,1839000,472000,242000,229000,2165000,1110000,1055000,1051000,463000,588000,27654,14232,13422,1.55,39297,20359,18938,49211,29177,20034,55601,31509,24092,17083,6237,17.6,32.3,2.3,107,2441.5,21105,3806267,3073,70264,66300,139500,430,3790,48597,514,11438,195265,295,7016,103594,35112,33619,138,6924,100664,32825,17354,5,14,146,2123,2276,32895,1088,103,7394,791,93,27,13829,1577,99738,410526,545942,28587,29268,97045,17729590,1414890,24800,12256,8187,4178,2364310,1507880,419423,424619,1215286,886,18.6,150,2711,1783,576,59512,449,58244,6853,297327,76472,17435,21197,9451,10581,11860,41300,13400,25569,70061
2015,R22000,ê√â™åß,3700305,1820993,1879312,3626991,1786265,1840726,478084,245364,232720,2175004,1111045,1063959,1021283,448723,572560,28352,14478,13874,1.54,39518,20523,18995,50639,29927,20712,56845,32277,24568,17666,6504,17.2,31.1,2.2,114,2804.5,20542,3779269,3146,70605,66700,138600,448,3986,52466,514,11409,197424,295,7049,104951,35245,33720,138,6941,100536,32058,16998,5,14,151,2105,2432,32596,1201,139,7041,775,96,29,13853,1546,109255,451146,501033,30770,31707,87971,18125830,1630100,23785,12269,7551,3841,2313351,1506962,391122,403943,1236820,896,19.2,149,2697,1780,552,56909,780,56186,6964,299712,74926,20839,24885,8693,11507,11635,39186,11436,26780,69825
2014,R22000,ê√â™åß,3715000,1828000,1886000,3656000,1801000,1855000,488000,251000,237000,2219000,1136000,1083000,998000,437000,561000,28684,14832,13852,1.50,38342,20023,18319,48814,28594,20220,56054,31705,24349,18066,6439,16.6,30.9,2.2,106,2374.0,20354,3921850,3233,70973,67000,138700,504,4466,59003,516,11457,199947,295,7038,105808,35474,33906,140,6955,100819,32404,17438,5,14,155,2072,2593,32344,1212,116,7186,805,97,34,14034,1656,116360,482634,489704,33119,33877,88243,16537730,746870,23843,12064,7682,3894,2309187,1505877,383453,402999,1248140,902,20.5,151,2685,1776,503,52368,567,53773,8224,286567,72751,12776,24612,8849,11747,12182,34598,13100,28954,66998
2013,R22000,ê√â™åß,3730000,1836000,1894000,3672000,1809000,1863000,496000,255000,241000,2261000,1157000,1104000,966000,422000,545000,30260,15620,14640,1.53,38393,20221,18172,50407,29588,20819,57299,32613,24686,18463,6732,17.2,32.3,0.9,88,1822.0,24610,4740021,3344,71998,67500,138900,511,4449,60884,520,11480,202275,295,6954,106781,35989,34442,142,6907,99974,31726,16828,5,14,167,2056,2738,32156,1234,160,7139,770,96,37,14046,1681,124262,531006,427415,34546,34882,91079,16088330,496990,28570,15778,9077,3505,2873785,1993113,353188,506317,1273877,917,21.0,150,2705,1777,489,50835,519,52400,7883,306847,72938,18061,24692,9502,13127,14180,41400,9849,33132,69965
2012,R22000,ê√â™åß,3739000,1841000,1898000,3686000,1816000,1870000,501000,257000,244000,2302000,1176000,1125000,932000,405000,526000,30810,15865,14945,1.52,38194,19940,18254,51969,30323,21646,55921,31915,24006,19323,6878,16.6,31.6,1.6,107,2488.5,22195,4119713,3464,74121,72700,144000,511,4476,62201,523,11466,205222,295,6962,106995,35404,33922,144,7039,101507,33516,17776,5,14,170,2019,2796,31726,1304,175,6981,811,97,38,13863,1684,132531,557965,383121,35098,35605,114096,16070760,473920,24641,13935,7500,3081,2510070,1774524,304370,416668,1318353,943,21.2,152,2715,1765,500,51726,514,53202,8044,307815,73167,17159,24779,12116,12024,13636,36934,11023,31213,75762
2023,R23000,à§ímåß,7477000,3726000,3751000,7195000,3584000,3611000,927000,476000,452000,4627000,2399000,2228000,1923000,851000,1071000,48402,24674,23728,1.29,80557,42676,37881,104565,61316,43249,107208,62619,44589,31759,10928,17.5,34.8,1.1,99,1504.5,34520,8175946,1208,68479,112300,480600,390,4420,57300,967,25531,395820,434,14214,207714,69714,62827,221,12244,181249,56956,36440,18,52,353,11765,4758,177582,2119,102,40077,4018,171,61,48636,10726,136105,694058,969882,25017,23834,223635,17210700,1919760,56825,15361,20770,20478,4525189,1795299,1681216,1026894,2282051,831,22.0,278,5682,3696,1343,169679,52,136328,19254,300221,88312,13435,23900,12560,11338,18175,38837,11831,30824,51009
2022,R23000,à§ímåß,7495000,3734000,3761000,7228000,3601000,3627000,948000,486000,461000,4628000,2397000,2231000,1920000,851000,1068000,51152,26432,24720,1.35,81183,43092,38091,103743,59995,43748,108916,63675,45241,33434,11061,16.9,33.1,0.5,104,1578.0,37803,8628704,1214,68158,108300,458200,399,4579,62736,968,25091,401581,438,14012,208568,70093,63347,220,12211,183404,59717,37497,18,52,388,11643,5541,176874,2627,183,40056,3780,174,62,49848,10097,137146,693332,983771,25525,24537,74322,13773700,301640,57032,16845,20213,19663,4813758,2007432,1784696,994095,2371103,864,22.2,281,5617,3703,1582,191331,53,156689,20646,319344,79757,22575,24825,14688,11080,19107,46904,12166,30894,57349
2021,R23000,à§ímåß,7517000,3746000,3771000,7261000,3619000,3642000,966000,495000,470000,4633000,2398000,2235000,1918000,852000,1066000,53918,27667,26251,1.41,73769,39082,34687,103901,60945,42956,106496,62575,43921,33509,11130,16.8,32.0,1.5,111,1998.5,40202,8492572,1236,69448,105300,441800,410,4728,67860,970,24738,405839,439,13910,209151,69625,63546,220,12252,185920,60818,37572,18,52,418,11603,6321,176722,2821,215,40768,3855,176,62,50486,10143,138045,735503,923305,26901,25750,31453,9743600,93190,61293,19103,20887,21026,5260387,2322287,1900114,1020191,2412295,877,22.3,283,5556,3718,1558,183099,174,148009,16597,263912,75450,21186,19382,11696,9189,11812,32193,10494,26835,45674
2020,R23000,à§ímåß,7542415,3761502,3780913,7164758,3574729,3590029,973642,499205,474437,4502713,2323364,2179349,1864603,830811,1033792,55613,28610,27003,1.44,70518,37698,32820,105208,61447,43761,107475,63460,44015,35390,11713,17.0,35.9,3.1,112,1711.0,35795,7792743,1221,66965,104300,423900,419,4729,71105,969,24518,410482,440,13744,206920,67374,62080,222,12354,190309,62134,37161,19,51,424,11364,6800,177380,3039,206,40628,3668,175,67,49939,9905,150444,764643,823126,25994,25072,81639,9598320,567600,53284,17801,17348,17637,4642089,2178237,1601803,831639,2469354,895,22.3,284,5463,3712,1533,189374,155,157939,18399,282283,78351,13305,20536,13985,9784,14453,45329,14570,26949,45022
2019,R23000,à§ímåß,7557000,3777000,3780000,7301000,3648000,3653000,991000,508000,483000,4669000,2428000,2241000,1892000,843000,1049000,57145,29487,27658,1.45,69932,37162,32770,110970,64983,45987,110001,64204,45797,39933,12342,17.0,33.9,1.2,109,1555.5,42734,8880221,1202,66925,103500,470500,449,4994,77179,974,24435,414038,442,13670,206367,69675,64611,222,12369,193454,63287,37353,20,50,452,11248,7165,177029,3134,202,39858,3499,178,65,52271,10843,139403,628718,1123145,32334,30552,295374,18102800,3577060,64544,19644,21769,22571,5577566,2424483,2057289,1062581,2536734,915,21.3,286,5455,3735,1479,179582,258,156863,18393,287547,75820,23763,20885,10478,10041,13008,40436,11680,28458,52978
2018,R23000,à§ímåß,7541000,3768000,3772000,7312000,3656000,3657000,1002000,513000,489000,4659000,2420000,2239000,1875000,837000,1039000,61230,31259,29971,1.54,68833,36713,32120,111067,65278,45789,108908,63713,45195,39117,12653,16.9,35.3,0.2,111,1695.5,43337,9522617,1191,65445,101500,430700,462,5107,81499,976,24232,416159,444,13624,206910,70197,65152,221,12486,197385,64353,37360,21,51,480,11211,7452,175639,3265,197,39549,3470,176,69,47452,12465,140162,618325,1181650,36150,34272,280253,15666650,2698340,68801,19757,26690,21376,5802739,2466207,2020600,1270604,2514869,911,21.9,286,5404,3737,1438,181705,238,154752,17385,286146,75866,16509,20580,11894,11681,13760,43902,10876,29970,51110
2017,R23000,à§ímåß,7528000,3763000,3765000,7321000,3662000,3658000,1010000,518000,493000,4663000,2419000,2244000,1852000,827000,1025000,62436,31994,30442,1.54,67177,35929,31248,110577,64875,45702,105738,62139,43599,40072,12471,15.9,32.7,1.0,105,1701.5,42278,8932521,1175,59342,100100,391200,477,5237,84903,975,23954,414767,443,13700,210948,71427,66516,222,12516,199697,64684,37641,22,51,488,11211,7889,174418,3663,266,38840,3512,177,70,47082,12558,149520,648078,1143998,40810,38427,263812,15714760,2443780,62724,19136,25775,17475,5372985,2395033,1715399,1242103,2522256,916,21.7,286,5347,3735,1324,166666,185,148345,16831,300195,78959,20972,20535,10732,12469,13432,41635,10492,32623,58346
